img_name,masked_image,binary_image,clone,rep,tuber,sprouting,hollow_heart,IBS,bruise,cracks,stemend_browning,anthocyanin,vascular_discoloration,greening,unknow_defect
1_1_6,1_1_6_masked.jpg,1_1_6_binary.jpg,1,1,6,0,0,0,0,0,0,0,0,0,0
1_1_7,1_1_7_masked.jpg,1_1_7_binary.jpg,1,1,7,1,0,0,0,0,0,0,0,0,0
1_1_8,1_1_8_masked.jpg,1_1_8_binary.jpg,1,1,8,0,0,0,0,0,0,0,0,0,0
1_1_9,1_1_9_masked.jpg,1_1_9_binary.jpg,1,1,9,0,0,0,0,0,0,0,0,0,0
1_1_10,1_1_10_masked.jpg,1_1_10_binary.jpg,1,1,10,1,0,0,1,0,1,0,0,0,0
1_2_1,1_2_1_masked.jpg,1_2_1_binary.jpg,1,2,1,1,0,0,0,0,0,0,0,0,0
1_2_2,1_2_2_masked.jpg,1_2_2_binary.jpg,1,2,2,0,0,0,0,0,0,0,0,0,0
1_2_3,1_2_3_masked.jpg,1_2_3_binary.jpg,1,2,3,0,0,0,0,0,0,0,0,0,0
1_2_4,1_2_4_masked.jpg,1_2_4_binary.jpg,1,2,4,0,0,0,0,0,0,0,0,0,0
1_2_5,1_2_5_masked.jpg,1_2_5_binary.jpg,1,2,5,0,0,0,0,0,0,0,0,0,0
2_1_6,2_1_6_masked.jpg,2_1_6_binary.jpg,2,1,6,0,0,0,0,0,0,0,0,0,0
2_1_7,2_1_7_masked.jpg,2_1_7_binary.jpg,2,1,7,0,0,0,0,0,0,0,0,0,0
2_1_8,2_1_8_masked.jpg,2_1_8_binary.jpg,2,1,8,0,0,0,0,0,0,0,0,0,0
2_1_9,2_1_9_masked.jpg,2_1_9_binary.jpg,2,1,9,0,0,0,0,0,0,0,0,0,0
2_1_10,2_1_10_masked.jpg,2_1_10_binary.jpg,2,1,10,0,0,0,0,0,0,0,0,0,0
2_2_1,2_2_1_masked.jpg,2_2_1_binary.jpg,2,2,1,0,0,0,1,0,0,0,0,0,1
2_2_2,2_2_2_masked.jpg,2_2_2_binary.jpg,2,2,2,0,0,0,1,0,1,0,0,0,0
2_2_3,2_2_3_masked.jpg,2_2_3_binary.jpg,2,2,3,0,0,0,0,0,0,0,0,0,0
2_2_4,2_2_4_masked.jpg,2_2_4_binary.jpg,2,2,4,0,0,0,1,0,1,0,0,0,0
2_2_5,2_2_5_masked.jpg,2_2_5_binary.jpg,2,2,5,0,0,0,1,0,1,0,0,0,0
3_1_6,3_1_6_masked.jpg,3_1_6_binary.jpg,3,1,6,0,0,0,0,0,0,0,0,0,0
3_1_7,3_1_7_masked.jpg,3_1_7_binary.jpg,3,1,7,0,0,0,0,0,0,0,0,0,0
3_1_8,3_1_8_masked.jpg,3_1_8_binary.jpg,3,1,8,0,0,0,0,0,0,0,0,0,0
3_1_9,3_1_9_masked.jpg,3_1_9_binary.jpg,3,1,9,0,0,0,0,0,0,0,0,0,0
3_1_10,3_1_10_masked.jpg,3_1_10_binary.jpg,3,1,10,0,0,0,0,0,0,0,0,0,0
3_2_1,3_2_1_masked.jpg,3_2_1_binary.jpg,3,2,1,0,0,0,0,0,0,0,0,0,0
3_2_2,3_2_2_masked.jpg,3_2_2_binary.jpg,3,2,2,0,0,0,0,0,0,0,0,0,0
3_2_3,3_2_3_masked.jpg,3_2_3_binary.jpg,3,2,3,0,0,0,0,0,0,0,0,0,0
3_2_4,3_2_4_masked.jpg,3_2_4_binary.jpg,3,2,4,0,0,0,0,0,0,0,0,0,0
3_2_5,3_2_5_masked.jpg,3_2_5_binary.jpg,3,2,5,0,0,0,0,0,0,0,0,0,0
4_1_6,4_1_6_masked.jpg,4_1_6_binary.jpg,4,1,6,0,0,0,0,0,0,0,0,0,0
4_1_7,4_1_7_masked.jpg,4_1_7_binary.jpg,4,1,7,0,0,0,0,0,0,0,0,0,0
4_1_8,4_1_8_masked.jpg,4_1_8_binary.jpg,4,1,8,0,0,0,0,0,0,0,0,0,0
4_1_9,4_1_9_masked.jpg,4_1_9_binary.jpg,4,1,9,0,0,0,0,0,0,0,0,0,0
4_1_10,4_1_10_masked.jpg,4_1_10_binary.jpg,4,1,10,0,0,0,0,0,0,0,0,0,0
